ActorId,MovieId,Character
214,311,Agent Mark Reid
204,311,Agent Zara Cross
204,302,Astra Skydancer
201,308,Captain Joran Helix
201,304,Cassian Emberheart
205,303,Detective Clara Black
211,311,Director Nolan Creed
207,305,Dr. Alara Meridian
208,303,Dracula
202,306,Dracula
207,312,Dracula
210,312,Eira Frostveil
206,309,Elara Rivers
213,309,Finn Oaken
206,306,Garrick Ironheart
205,307,Isabelle Frost
210,308,Kaelen Lightstorm
203,302,Kai Phoenix
203,304,Lira Flint
202,310,Liriel Stormcaller
211,307,Lucien Nightshade
201,301,Lyra Stormblade
202,301,Malik Shadowbane
202,305,Ronan Solara
209,310,Rowan Brightblade
207,301,Serena Lightbringer
208,312,Silas Blackthorn
209,306,Thalia Shadowfox
